index,node,mc_el,mc_heat,g_max,h_max,d_max,eta,availability,plant_type,heatarea,storage_capacity
p0,n4763,18.94736842105263,0,16.8,0.0,0.0,0.38,1,other_res,,
p1,n8046,18.97062423500612,0,9.8,0.0,0.0,0.38,1,other_res,,
p2,n5556,18.993880048959607,0,138.9,600.0,0.0,0.38,1,other_res,,
p3,n7261,19.017135862913094,0,1.1,0.0,0.0,0.38,1,other_res,,
p5,n4536,19.06364749082007,0,16.0,0.0,0.0,0.38,1,other_res,,
p6,n6842,19.08690330477356,0,17.7,0.0,0.0,0.38,1,other_res,,
p7,n4544,19.110159118727047,0,16.5,0.0,0.0,0.38,1,other_res,,
p8,n7726,19.133414932680537,0,20.0,0.0,0.0,0.38,1,other_res,,
p9,n4762,19.156670746634024,0,18.1,0.0,0.0,0.38,1,other_res,,
p10,n4731,19.179926560587518,0,18.0,0.0,0.0,0.38,1,other_res,,
p11,n3476,19.203182374541,0,13.2,0.0,0.0,0.38,1,other_res,,
p12,n3476,19.22643818849449,0,8.0,0.0,0.0,0.38,1,other_res,,
p13,n5651,19.249694002447978,0,20.0,0.0,0.0,0.38,1,other_res,,
p14,n7681,19.272949816401468,0,20.0,0.0,0.0,0.38,1,other_res,,
p15,n4619,19.296205630354955,0,12.6,0.0,0.0,0.38,1,other_res,,
p16,n4716,19.319461444308445,0,12.4,0.0,0.0,0.38,1,other_res,,
p17,n4746,19.34271725826193,0,12.1,0.0,0.0,0.38,1,other_res,,
p18,n4690,19.36597307221542,0,20.0,0.0,0.0,0.38,1,other_res,,
p19,n5697,19.389228886168908,0,20.0,0.0,0.0,0.38,1,other_res,,
p20,n4592,19.4124847001224,0,16.8,0.0,0.0,0.38,1,other_res,,
p21,n8066,19.435740514075885,0,18.6,0.0,0.0,0.38,1,other_res,,
p22,n3497,19.45899632802937,0,14.0,0.0,0.0,0.38,1,other_res,,
p23,n3466,19.482252141982865,0,78.0,0.0,0.0,0.38,1,other_res,,
p24,n4552,19.505507955936352,0,17.1,0.0,0.0,0.38,1,other_res,,
p25,n3305,19.52876376988984,0,15.1,0.0,0.0,0.38,1,other_res,,
p26,n5541,19.55201958384333,0,17.8,0.0,0.0,0.38,1,other_res,,
p27,n4590,19.575275397796812,0,20.0,0.0,0.0,0.38,1,other_res,,
p28,n6842,19.598531211750306,0,20.0,0.0,0.0,0.38,1,other_res,,
p29,n7688,19.621787025703792,0,9.8,0.0,0.0,0.38,1,other_res,,
p30,n7798,19.64504283965728,0,17.9,0.0,0.0,0.38,1,other_res,,
p31,n7798,19.66829865361077,0,59.2,0.0,0.0,0.38,1,other_res,,
p32,n4500,19.69155446756426,0,15.6,0.0,0.0,0.38,1,other_res,,
p33,n5650,19.714810281517742,0,20.0,0.0,0.0,0.38,1,other_res,,
p34,n3475,19.73806609547124,0,12.3,0.0,0.0,0.38,1,other_res,,
p35,n4676,19.761321909424723,0,15.0,0.0,0.0,0.38,1,other_res,,
p36,n5541,19.784577723378213,0,13.3,0.0,0.0,0.38,1,other_res,,
p37,n4855,19.8078335373317,0,14.0,0.0,0.0,0.38,1,other_res,,
p38,n7783,19.83108935128519,0,8.7,0.0,0.0,0.38,1,other_res,,
p39,n7783,19.85434516523868,0,4.5,0.0,0.0,0.38,1,other_res,,
p40,n5658,15.985790408525766,0,1.9,0.0,0.0,0.4503999999999997,1,other_res,,
p41,n4619,19.877600979192167,0,6.7,0.0,0.0,0.38,1,other_res,,
p42,n4582,19.900856793145653,0,18.1,0.0,0.0,0.38,1,other_res,,
p43,n3312,19.92411260709914,0,10.0,0.0,0.0,0.38,1,other_res,,
p44,n3484,57.50381568970064,0,96.50618943098368,280.0,0.0,0.4174999999999995,1,conventional,,
p45,n3484,59.84733216580644,0,124.36660721314264,280.0,0.0,0.3875000000000002,1,conventional,,
p46,n4693,81.58995724967744,0,5.457195235680624,0.0,0.0,0.2324999999999999,1,conventional,,
p47,n6842,60.711277533377526,0,205.9373149464741,20.0,0.0,0.3774999999999995,1,conventional,,
p48,n5539,63.60145448244603,0,35.61537943286302,244.0,0.0,0.3475000000000001,1,conventional,,
p49,n5539,58.82814661499997,0,25.562651367135555,136.0,0.0,0.4000000000000003,1,conventional,,
p50,n5539,59.43186799222929,0,80.99626612957557,363.0,0.0,0.3925,1,conventional,,
p51,n5539,59.22808018556965,0,80.99626612957557,363.0,0.0,0.3949999999999996,1,conventional,,
p52,n7653,60.27365814784311,0,208.52230216337543,0.0,0.0,0.3825000000000003,1,conventional,,
p53,n4776,60.059110981558455,0,12.436660721314263,0.0,0.0,0.3849999999999998,1,conventional,,
p54,n5662,59.02685574754717,0,34.179275423473385,155.0,0.0,0.3974999999999999,1,conventional,,
p56,n5739,61.160645090335606,0,86.16624056337828,39.0,0.0,0.3724999999999996,1,conventional,,
p57,n8060,63.80145448244603,0,100.52728065727466,26.0,0.0,0.3475000000000001,1,conventional,,
p58,n4663,59.94733216580644,0,27.28597617840312,139.0,0.0,0.3875000000000002,1,conventional,,
p59,n4585,59.47808018556965,0,106.2716966948332,295.0,0.0,0.3949999999999996,1,conventional,,
p60,n4585,54.8572214908197,0,208.2350813614975,0.0,0.0,0.4574999999999996,1,conventional,,
p61,n4845,56.795735662807,0,81.28348693145351,60.0,0.0,0.4275000000000002,1,conventional,,
p62,n4845,65.24211884075193,0,30.44540499906033,66.0,0.0,0.3324999999999996,1,conventional,,
p63,n4765,60.93446342,0,4.99764195267594,0.0,0.0,0.375,1,conventional,,
p64,n5695,58.43808794740739,0,7.754961650704045,0.0,0.0,0.4050000000000002,1,conventional,,
p65,n5695,59.72808018556965,0,8.3294032544599,0.0,0.0,0.3949999999999996,1,conventional,,
p66,n5695,60.04733216580644,0,9.47828646197161,0.0,0.0,0.3875000000000002,1,conventional,,
p67,n4782,59.13796685865829,0,17.664079315492547,0.0,0.0,0.3974999999999999,1,conventional,,
p68,n4782,59.2490779697694,0,17.664079315492547,0.0,0.0,0.3974999999999999,1,conventional,,
p69,n4667,64.00145448244604,0,99.09117664788502,0.0,0.0,0.3475000000000001,1,conventional,,
p70,n4667,63.86499114869568,0,99.09117664788502,0.0,0.0,0.3449999999999997,1,conventional,,
p71,n4667,60.14733216580643,0,20.10545613145493,0.0,0.0,0.3875000000000002,1,conventional,,
p72,n4734,58.93808794740739,0,146.48260895774308,300.0,0.0,0.4050000000000002,1,conventional,,
p73,n5697,58.246648110552165,0,55.72083556431795,785.0,0.0,0.4074999999999997,1,conventional,,
p74,n5697,54.55858552378377,0,229.77664150234207,120.0,0.0,0.4625000000000003,1,conventional,,
p75,n5697,54.80858552378377,0,229.77664150234207,120.0,0.0,0.4625000000000003,1,conventional,,
p76,n4693,54.70709199652175,0,219.7239134366146,0.0,0.0,0.4599999999999999,1,conventional,,
p77,n4693,55.04042532985508,0,219.4366926347367,0.0,0.0,0.4599999999999999,1,conventional,,
p78,n4756,59.36018908088051,0,39.06202905539815,0.0,0.0,0.3974999999999999,1,conventional,,
p79,n4756,59.47130019199162,0,39.06202905539815,0.0,0.0,0.3974999999999999,1,conventional,,
p80,n4713,64.67902662888886,0,35.90260023474095,28.0,0.0,0.3375000000000003,1,conventional,,
p81,n4713,64.40369109882354,0,35.90260023474095,28.0,0.0,0.3399999999999998,1,conventional,,
p82,n4713,60.247332165806434,0,223.45778386102768,550.0,0.0,0.3875000000000002,1,conventional,,
p83,n4676,64.73702443215687,0,80.42182452581973,0.0,0.0,0.3399999999999998,1,conventional,,
p84,n4676,59.58241130310273,0,128.9621400431895,550.0,0.0,0.3974999999999999,1,conventional,,
p85,n4769,61.660645090335606,0,198.18235329577004,0.0,0.0,0.3724999999999996,1,conventional,,
p86,n4778,60.34733216580644,0,228.0533166910745,20.0,0.0,0.3875000000000002,1,conventional,,
p87,n4726,59.69352241421384,0,18.95657292394322,0.0,0.0,0.3974999999999999,1,conventional,,
p88,n4605,57.68616762433735,0,3.84875874516423,0.0,0.0,0.415,1,conventional,,
p89,n3467,60.44733216580644,0,145.04650494835343,220.0,0.0,0.3875000000000002,1,conventional,,
p90,n3467,55.37375866318841,0,241.83991518121505,220.0,0.0,0.4599999999999999,1,conventional,,
p91,n5683,63.34168262571433,0,92.7723190065706,295.0,0.0,0.3499999999999996,1,conventional,,
p92,n4638,67.03780660299213,0,7.467740848826117,0.0,0.0,0.3174999999999999,1,conventional,,
p93,n4638,63.08559547617021,0,31.594288206572035,460.0,0.0,0.3525,1,conventional,,
p94,n4638,65.53006372181818,0,29.583742593426543,0.0,0.0,0.33,1,conventional,,
p95,n6842,65.86339705515151,0,42.79589947981121,0.0,0.0,0.33,1,conventional,,
p96,n6842,64.20145448244602,0,93.05953980844852,0.0,0.0,0.3475000000000001,1,conventional,,
p97,n4647,55.3572214908197,0,214.266718200934,35.0,0.0,0.4574999999999996,1,conventional,,
p98,n4720,56.12002500857143,0,73.24130447887154,0.0,0.0,0.4375,1,conventional,,
p99,n4720,60.491028303157904,0,122.06884079811924,500.0,0.0,0.3799999999999999,1,conventional,,
p100,n4720,58.746648110552165,0,124.9410488168985,500.0,0.0,0.4074999999999997,1,conventional,,
p101,n4720,55.05858552378377,0,242.12713598309296,0.0,0.0,0.4625000000000003,1,conventional,,
p102,n4674,73.61101226477066,0,34.466496225351314,0.0,0.0,0.2724999999999999,1,conventional,,
p103,n4674,63.33559547617021,0,15.883310343849397,0.0,0.0,0.3525,1,conventional,,
p104,n4674,65.07035776549021,0,17.348136433426827,0.0,0.0,0.3399999999999998,1,conventional,,
p105,n4674,60.77365814784311,0,17.290692273051242,0.0,0.0,0.3825000000000003,1,conventional,,
p106,n7274,59.07814661499997,0,15.50992330140809,0.0,0.0,0.4000000000000003,1,conventional,,
p107,n4743,59.76520132556263,0,251.31820164318663,0.0,0.0,0.3925,1,conventional,,
p108,n3505,59.32814661499997,0,7.726239570516252,0.0,0.0,0.4000000000000003,1,conventional,,
p109,n4583,61.857780375616414,0,188.3019577111693,30.0,0.0,0.3650000000000002,1,conventional,,
p110,n5542,58.05754290585365,0,147.63149216525477,150.0,0.0,0.4100000000000001,1,conventional,,
p111,n4583,59.97808018556965,0,14.36104009389638,0.0,0.0,0.3949999999999996,1,conventional,,
p112,n4855,64.40145448244603,0,7.123075886572605,0.0,0.0,0.3475000000000001,1,conventional,,
p113,n3507,55.47451371318437,0,6.491190122441164,0.0,0.0,0.4474999999999998,1,conventional,,
p114,n3507,60.69102830315791,0,12.924936084506742,0.0,0.0,0.3799999999999999,1,conventional,,
p115,n3507,60.25911098155846,0,12.924936084506742,0.0,0.0,0.3849999999999998,1,conventional,,
p116,n5673,59.57814661499997,0,11.488832075117104,0.0,0.0,0.4000000000000003,1,conventional,,
p117,n7783,61.38988326972972,0,5.945470598873101,0.0,0.0,0.3700000000000001,1,conventional,,
p118,n3314,58.631905918882005,0,95.5583607847865,550.0,0.0,0.4024999999999998,1,conventional,,
p119,n4584,63.58559547617021,0,91.33621499718096,0.0,0.0,0.3525,1,conventional,,
p120,n4584,63.83559547617021,0,92.48509820469268,0.0,0.0,0.3525,1,conventional,,
p121,n4584,60.8910283031579,0,199.61845730515967,0.0,0.0,0.3799999999999999,1,conventional,,
p122,n4584,60.54733216580644,0,199.61845730515967,0.0,0.0,0.3875000000000002,1,conventional,,
p123,n7711,61.09102830315791,0,51.41252353614904,210.0,0.0,0.3799999999999999,1,conventional,,
p124,n7711,59.80463352532495,0,60.60358919624272,185.0,0.0,0.3974999999999999,1,conventional,,
p125,n7271,64.95847164447761,0,27.573196980281047,0.0,0.0,0.3349999999999999,1,conventional,,
p126,n7271,64.13237506554742,0,42.50867867793328,0.0,0.0,0.3425000000000002,1,conventional,,
p127,n7878,66.19673038848485,0,35.328158630985094,0.0,0.0,0.33,1,conventional,,
p128,n7878,65.82240470793897,0,39.34924985727608,423.0,0.0,0.3274999999999997,1,conventional,,
p129,n4688,61.2910283031579,0,89.03844858215756,0.0,0.0,0.3799999999999999,1,conventional,,
p130,n8028,60.45911098155845,0,178.0768971643151,0.0,0.0,0.3849999999999998,1,conventional,,
p131,n5643,62.19111370894975,0,217.4261470215912,0.0,0.0,0.3650000000000002,1,conventional,,
p132,n5655,55.30858552378377,0,209.95840617276508,0.0,0.0,0.4625000000000003,1,conventional,,
p133,n4741,56.96963178705884,0,17.664079315492547,0.0,0.0,0.4249999999999998,1,conventional,,
p134,n4773,57.46963178705884,0,17.664079315492547,0.0,0.0,0.4249999999999998,1,conventional,,
p135,n4741,60.64733216580643,0,39.78008106009297,140.0,0.0,0.3875000000000002,1,conventional,,
p136,n4773,60.747332165806434,0,39.78008106009297,140.0,0.0,0.3875000000000002,1,conventional,,
p137,n4648,59.91574463643606,0,24.41376815962385,201.0,0.0,0.3974999999999999,1,conventional,,
p138,n3312,59.63826846307695,0,135.56821848638182,150.0,0.0,0.3899999999999997,1,conventional,,
p315,n4630,42.39953165207925,0,129.78500262191926,0.0,0.0,0.323199999999999,1,conventional,,
p316,n4630,42.10353579946735,0,130.65897570354835,0.0,0.0,0.3303999999999991,1,conventional,,
p317,n4630,41.82016536236969,0,283.16727844782383,0.0,0.0,0.3375999999999992,1,conventional,,
p318,n4630,42.15349869570303,0,274.427547631533,245.0,0.0,0.3375999999999992,1,conventional,,
p319,n4630,39.66147252007908,0,276.1754937947912,0.0,0.0,0.4047999999999989,1,conventional,,
p322,n4630,42.70901592329118,0,128.91102954029017,0.0,0.0,0.3159999999999989,1,conventional,,
p323,n4630,42.20075720146343,0,128.91102954029017,0.0,0.0,0.3279999999999994,1,conventional,,
p324,n4630,40.95709758566374,0,6.554798112218145,0.0,0.0,0.3615999999999992,1,conventional,,
p326,n4630,40.13104384969075,0,4.369865408145429,0.0,0.0,0.387999999999999,1,conventional,,
p327,n4544,41.20374404284427,0,71.66579269358505,1010.0,0.0,0.3543999999999991,1,conventional,,
p328,n4553,39.79161086000001,0,382.3632232127251,230.0,0.0,0.3999999999999994,1,conventional,,
p329,n4553,39.85785834490949,0,382.3632232127251,230.0,0.0,0.3975999999999988,1,conventional,,
p330,n4548,41.37381909798631,0,203.19874147876249,60.0,0.0,0.3495999999999988,1,conventional,,
p331,n4548,41.288201769090925,0,203.19874147876249,0.0,0.0,0.3519999999999994,1,conventional,,
p332,n4548,40.29161086000001,0,374.4974654780633,65.0,0.0,0.3999999999999994,1,conventional,,
p333,n4548,39.05448399432838,0,279.6713861213075,0.0,0.0,0.4287999999999989,1,conventional,,
p334,n4521,40.64311948068968,0,24.82083551826604,0.0,0.0,0.3711999999999991,1,conventional,,
p335,n4521,40.49214277489364,0,39.6783779059605,0.0,0.0,0.3759999999999994,1,conventional,,
p336,n4540,40.35785834490949,0,32.33700402027618,0.0,0.0,0.3975999999999988,1,conventional,,
